iter	Passed	Remaining
0	6	61589
1	12	62375
2	19	64951
3	26	65976
4	32	65963
5	40	66898
6	45	65597
7	64	80197
8	75	83693
9	81	81589
10	87	79141
11	92	76836
12	97	74867
13	102	73219
14	107	71783
15	113	70813
16	119	70328
17	122	68169
18	128	67358
19	133	66738
20	139	66147
21	144	65498
22	149	64831
23	154	64285
24	159	63768
25	165	63301
26	170	63063
27	175	62659
28	181	62345
29	186	62112
30	192	61853
31	197	61642
32	203	61345
33	208	61091
34	213	60825
35	218	60534
36	224	60339
37	229	60188
38	235	60038
39	240	59827
40	246	59765
41	251	59528
42	256	59416
43	261	59278
44	267	59134
45	272	58994
46	277	58867
47	283	58716
48	288	58612
49	294	58515
50	299	58384
51	301	57674
52	306	57556
53	312	57497
54	317	57446
55	324	57567
56	329	57527
57	334	57415
58	340	57353
59	345	57249
60	351	57192
61	356	57100
62	361	57002
63	366	56936
64	373	57123
65	380	57254
66	386	57264
67	392	57272
68	399	57470
69	404	57409
70	409	57320
71	415	57271
72	420	57179
73	425	57120
74	431	57069
75	436	57025
76	441	56954
77	447	56917
78	453	56907
79	460	57042
80	466	57146
81	472	57149
82	478	57159
83	483	57125
84	489	57053
85	494	57020
86	499	56961
87	505	56937
88	511	56912
89	516	56855
90	521	56808
91	527	56810
92	533	56808
93	538	56763
94	544	56726
95	549	56692
96	554	56642
97	560	56606
98	565	56590
99	571	56537
100	576	56510
101	579	56253
102	585	56247
103	591	56290
104	597	56262
105	602	56208
106	609	56310
107	614	56246
108	619	56209
109	625	56201
110	630	56177
111	635	56135
112	640	56057
113	646	56044
114	652	56053
115	657	56047
116	663	56009
117	668	55980
118	673	55943
119	679	55915
120	684	55891
121	690	55919
122	696	55919
123	701	55858
124	706	55825
125	708	55543
126	714	55531
127	719	55519
128	725	55480
129	730	55463
130	736	55456
131	741	55465
132	747	55461
133	752	55436
134	756	55244
135	761	55239
136	766	55216
137	772	55200
138	777	55172
139	783	55166
140	788	55146
141	797	55353
142	802	55322
143	807	55272
144	812	55250
145	818	55241
146	820	55017
147	826	54991
148	831	54948
149	836	54932
150	841	54893
151	847	54885
152	852	54872
153	858	54869
154	863	54845
155	868	54828
156	873	54770
157	879	54760
158	884	54754
159	890	54735
160	895	54720
161	900	54701
162	905	54669
163	911	54659
164	916	54641
165	922	54649
166	927	54625
167	933	54621
168	938	54619
169	947	54790
170	954	54872
171	961	54965
172	967	54946
173	972	54913
174	977	54903
175	983	54902
176	989	54917
177	992	54783
178	998	54770
179	1003	54762
180	1009	54749
181	1014	54737
182	1020	54748
183	1025	54720
184	1031	54702
185	1036	54698
186	1042	54691
187	1047	54688
188	1053	54690
189	1059	54689
190	1064	54666
191	1070	54659
192	1075	54634
193	1080	54598
194	1085	54579
195	1091	54573
196	1096	54573
197	1102	54564
198	1107	54544
199	1112	54516
200	1118	54540
201	1123	54505
202	1129	54533
203	1136	54551
204	1141	54560
205	1148	54616
206	1154	54598
207	1159	54569
208	1165	54585
209	1170	54566
210	1175	54536
211	1180	54522
212	1186	54515
213	1192	54513
214	1197	54508
215	1203	54495
216	1208	54494
217	1214	54491
218	1219	54472
219	1224	54450
220	1230	54441
221	1235	54432
222	1240	54409
223	1246	54404
224	1252	54398
225	1257	54371
226	1262	54373
227	1268	54373
228	1274	54365
229	1279	54350
230	1281	54174
231	1287	54195
232	1292	54193
233	1298	54181
234	1303	54169
235	1309	54161
236	1314	54150
237	1320	54148
238	1325	54145
239	1331	54141
240	1336	54129
241	1342	54136
242	1347	54115
